,pkb,eng
42,"Na ikiwa kwamba kuhora kiḍechonse kahi ya hivi kwa ḅahat̯i nzuka, kisa kudzihora hu uso,",
43,"na njia karit̯u ya kuviyaga ni kukosa hivi vija na saḅuni, jiki ambu sipiriti",
44,Virusi vinaweza kukaa mojo kwa masaa ya kut̯ala dzuu ya vija dza meza,
45,Sabuni,
46,hizi miko hizi,
47,Na ndiyo maana ni urembo kuuḅa,
48,Nawa na saḅuni mumpaka hapfa,
50,Kikorokoro,
51,"Nkudzohore hu usowo (ambu uso wa yuḍe jwonse). Ikiwa ni had̯i, ḅasi d̯ura nawa na saḅuni urembo.",
52,"Hu muḍa unat̯osa kwimba wiya wa “Muḍondo, muḍondo, mwana kakwiiyani” myeedha miwii",
53,humu nyaani,
54,kwa nukta miyongo miwii,
55,kahikahi ya haya maḍowe,
56,kosa mongo wa hiḍi ganza,
57,Kudzikosa urembo maanae ni?,
58,"Ikiwa kwamba kuhora mahwente, nkudzomuud̯ame. Nawa na saḅuni ḅaad̯ae.",
59,"Pia, nkudzohore hi ḍanda ya nze ya hiki kit̯uḍyio",
60,mahwente,
61,"Ukivwaa chicho kit̯uḍyio cha kufinikiza mpuya na kanwa kwa nsiku nyinji, kinameya bakiteria na humu kuzimu.",
62,Hivi vit̯uḍyio vya hewa vikiwa vichafu vifat̯ule. Nkudzovivwae kwa zaid̯i ya nsiku modza!,
63,Tumia kipfazi,
64,Mwana kaleleheya,
65,Baba,
66,Mama,
67,Kula mumodza nawe na tauli yakwe,
68,"Nkudzomegeane chakuḍya na wantu wangine, nkudzotumie na muntu yungine vija dza vikombe ambu tauli .",
69,"Hat̯a ukiḍemadze, nkuwezi kuhora hu usowo na hiki kikorokoro chako.",
70,"Ikiwezekana, funguya miḍyango ukitumia kikorokoro ambu kit̯uro kuliko kutumia hi mikono.",
71,Nyumbani,
72,na ukiuja kuyawa nze kwiiko wantu,
73,Usidzaḍya,
74,Kula saa nawa na saḅuni,
75,"Mwiso wa kwisa,",
77,"Wani salama, kula muntu!",
80,Soma haya matsoro umanye zaid̯i!,
81,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",
82,"""The Wuhan Virus: How to stay safe""' by Laurie Garrett, in Foreign policy, Report.  (Jan 25, 2020)",
83,"""How to avoid the coronavirus? Wash your hands""' by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020)",
84,Vyuo vya maelezo zaidi vya elimu ya kuriit̯a:,
85,"Maelezo zaid̯i: Miko ya usafi iyonakworegwa dza katuni inakudza ikafanikijwa muno kuchinga majwazi menji yangine ya mpokezi dza fuluenza na kuwo. Hizi miko zinafaa kugijwa kula nsiku maishani, hat̯a ikiwa kwamba ntaku kipfupfu. Kuntu kwa kupata uimufu zaid̯i: Maelezo ya kikatuni dzuu ya kuimuka ujwazi wa COVID 19 hangu wipfoḍabva mumpaka t̯arehe 28 Februruari 2020 yayawana na https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Maagu zaid̯i: Kuna katuni iiyonapatikana katika PDF. Unaweza kuipata ḅure hapfa:https://gumroad.com/weimankowart Sharia za kupfa wangine haya maelezo: Haka kadzuo ka katuni kanayavigwa ḅure kwa wantu kusambaziana mutandaoni na kuchiiya kwa Whatsapp na Telegram, Kupata hizi katuni ni ḅure, unaweza kuchapisa dza maḅango ili utumie wewe mwenye na kuelimisha wantu madzumban, maskulini na  Kazini. Ukwakusambazani, ad̯o kumbuka haya mambo mohahu: 1.     Nku ruhusa kurekeḅisha hizi katuni kwa njia iḍe yonse  Hizi katuni ntaziruhusa kutumijwa kwa nji 1.     kupata mapato. Ukiwa mutandaoni, muhambuye huyu aelekanyie hizi katuni kwa kumuhadza ukiwa Facebook kwa kumutaga @weimankowart, ukiwa IG kwa kumutaga @weimankow (IG), ambu kuyavya muelekeo kwa instagram com/weimankow Kwa matumizi yangine, huma yombi kwa:comicsforgood@gmail.com",
87,,Translated by Shedrack Thomas Falama
88,,Bible Translation & Literacy
90,,"Created by Weiman Kow, instagram: weimankow"
95,"Mambo yeyonahusiana na virusi vya korona  Translated by Shedrack Thomas Falama  Kuna dzambo MODZA t̯u  wiḍyonafaa kuimuka dzuu ya namuna ya virusi vya korona VIVYONAENEA kanwani mpuyani matsoni yepfonanjia Mwa muntu eye na matsea mujwazi Hivi virusi vinaenea saa ya mahwente ya Kaa kuye. Mita 2 zinakuweka kuye na mahwente makuu makuu. 1 Mita 2 Achoo! D̯ubva ukiona muntu eyekukoowani, ambu eyekubigani myansa ambu mujwazi, unaweza kutsana Wapfe kit̯uḍyio cha hewa cha kuvwaa. Wanaweza kukoowa ambu kubiga myansa wakiwa wakivwaa na kuwachinga wonse weo hafufi. 2 Asant̯a *shurupa* AMBU Pfangine huyu si mujwazi, kakudzichingani t̯u. Wantu wepfokezejweo hivi virusi wanaweza kutsayanga ishara iḍeyonse, ela wanaweza kupfokeza wangine. Kwa ḍyumula, ni dzambo dzema kudzyapfusa na t̯ut̯a, kwa kwamba nkawezi kumanya kwamba mujwazi ni yu. Vidzihi vya kuḍia Muntu eye na matsea Mikanda ya kudzigijia ya gari ya mosi Viḅonyezo vya lifuti Karat̯asi mpesi za kudzifutia Vikombe Vifaa vya elektroniki na hat̯a sehemu ya nze ya hiki kit̯uḍyio cha hewa Vigijio vya ngazi Mausi ya kompyuta Kalamu Mpiki za miḍyango Mikono yao Ela myeedha ingine mahe ya muntu mujwazi yanaweza kupata vija vingine dza…. ḅasi unaweza kuwa mujwazi. ambu kuhora hu uso wa mutsakwa jwako, kudzifyokotsa haya  matso, Na ikiwa kwamba kuhora kiḍechonse kahi ya hivi kwa ḅahat̯i nzuka, kisa kudzihora hu uso, na njia karit̯u ya kuviyaga ni kukosa hivi vija na saḅuni, jiki ambu sipiriti Virusi vinaweza kukaa mojo kwa masaa ya kut̯ala dzuu ya vija dza meza Sabuni hizi miko hizi Na ndiyo maana ni urembo kuuḅa Nawa na saḅuni mumpaka hapfa Sabuni Kikorokoro Nkudzohore hu usowo (ambu uso wa yuḍe jwonse). Ikiwa ni had̯i, ḅasi d̯ura nawa na saḅuni urembo. Hu muḍa unat̯osa kwimba wiya wa “Muḍondo, muḍondo, mwana kakwiiyani” myeedha miwii humu nyaani kwa nukta miyongo miwii kahikahi ya haya maḍowe kosa mongo wa hiḍi ganza Kudzikosa urembo maanae ni? Ikiwa kwamba kuhora mahwente, nkudzomuud̯ame. Nawa na saḅuni ḅaad̯ae. Pia, nkudzohore hi ḍanda ya nze ya hiki kit̯uḍyio mahwente Ukivwaa chicho kit̯uḍyio cha kufinikiza mpuya na kanwa kwa nsiku nyinji, kinameya bakiteria na humu kuzimu. Hivi vit̯uḍyio vya hewa vikiwa vichafu vifat̯ule. Nkudzovivwae kwa zaid̯i ya nsiku modza! Tumia kipfazi Mwana kaleleheya Baba Mama Kula mumodza nawe na tauli yakwe Nkudzomegeane chakuḍya na wantu wangine, nkudzotumie na muntu yungine vija dza vikombe ambu tauli . Hat̯a ukiḍemadze, nkuwezi kuhora hu usowo na hiki kikorokoro chako. Ikiwezekana, funguya miḍyango ukitumia kikorokoro ambu kit̯uro kuliko kutumia hi mikono. Nyumbani na ukiuja kuyawa nze kwiiko wantu Usidzaḍya Kula saa nawa na saḅuni Mwiso wa kwisa, Sabuni Wani salama, kula muntu! Wani salama, kula muntu! Sabuni Soma haya matsoro umanye zaid̯i! ""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ""The Wuhan Virus: How to stay safe""' by Laurie Garrett, in Foreign policy, Report.  (Jan 25, 2020) ""How to avoid the coronavirus? Wash your hands""' by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020) Vyuo vya maelezo zaidi vya elimu ya kuriit̯a: Maelezo zaid̯i: Miko ya usafi iyonakworegwa dza katuni inakudza ikafanikijwa muno kuchinga majwazi menji yangine ya mpokezi dza fuluenza na kuwo. Hizi miko zinafaa kugijwa kula nsiku maishani, hat̯a ikiwa kwamba ntaku kipfupfu. Kuntu kwa kupata uimufu zaid̯i: Maelezo ya kikatuni dzuu ya kuimuka ujwazi wa COVID 19 hangu wipfoḍabva mumpaka t̯arehe 28 Februruari 2020 yayawana na https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Maagu zaid̯i: Kuna katuni iiyonapatikana katika PDF. Unaweza kuipata ḅure hapfa:https://gumroad.com/weimankowart Sharia za kupfa wangine haya maelezo: Haka kadzuo ka katuni kanayavigwa ḅure kwa wantu kusambaziana mutandaoni na kuchiiya kwa Whatsapp na Telegram, Kupata hizi katuni ni ḅure, unaweza kuchapisa dza maḅango ili utumie wewe mwenye na kuelimisha wantu madzumban, maskulini na  Kazini. Ukwakusambazani, ad̯o kumbuka haya mambo mohahu: 1.     Nku ruhusa kurekeḅisha hizi katuni kwa njia iḍe yonse  Hizi katuni ntaziruhusa kutumijwa kwa nji 1.     kupata mapato. Ukiwa mutandaoni, muhambuye huyu aelekanyie hizi katuni kwa kumuhadza ukiwa Facebook kwa kumutaga @weimankowart, ukiwa IG kwa kumutaga @weimankow (IG), ambu kuyavya muelekeo kwa instagram com/weimankow Kwa matumizi yangine, huma yombi kwa:comicsforgood@gmail.com Mambo yeyonahusiana na virusi vya korona        ","About Coronavirus                                                                                      About Coronavirus Translated by Shedrack Thomas Falama Bible Translation & Literacy  Created by Weiman Kow, instagram: weimankow    "
