,rus,spa,eng
70,"Открывайте и закрывайте двери локтем или плечом вместо рук, если это возможно. ",,
71,Дома,,
72,И после того как вы были на улице или среди людей.,,
73,Перед приемом пищи,,
74,Всегда мойти руки с мылом,,
75,И наконец!,,
77,Оставайтесь в безопасности!,,
80,Читайте статьи для получения дополнительных советов.,,
81,"""Анимация показывает, как далеко ваш чих может улететь"", Чиа И Хой и Андреа Шмитц, Business insider (Январь 21, 2020)",,
82,"""Уханьский вирус: Как оставаться в безопасности"", Лорри Гаррет, во внешней политике, отчет. (25 января,2020)",,
83,"""Как избежать короновируса? Мойте руки"", Элизабет Розенталь, New York Times, Мнение. (28 января, 2020)",,
84,Основные ссылки для информаци в СМИ,,
85,"Дополннительные заметки: Меры гигиены эффективны в предотвращении заболеваний таких как простуда и грипп. Эти меры гигиены должны приниматься каждый день, даже если нет эпидемии. ﻿Ссылки: Информация в юмористическом источники основана на понимании COVID19 до 28 февраля 2020, и взята из этих источников https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Дополнительная информация. PDF-версию комикса можно бесплатно скачать здесь: https://gumroad.com/weimankowart Этот комикс можно бесплатно опубликовать в Интернете и через WhatsApp. и Telegram, а загружаемые файлы можно бесплатно распечатать в качестве плакатов для личного и образовательного использования в дома, школы и рабочие места. Рекомендации по обмену. При публикации помните эти 3 пункта: 1) Никакие изменения в комиксах при публикации запрещены. 2) Комиксы нельзя использовать в коммерческих проектах. 3) если в сети, укажите автора в FB, пометив @weimankowart, в IG, отметив @weimankow (IG), или предоставляя ссылку на instagram com / weimankow Для любого другого использования отправьте запрос по адресу: comicsforgood@gmail.com",,
87,Автор: Вейман Ков﻿Иллюстрации: Вейман Ков,,
88,SIL LEAD,,
89,Дарья Давидовская,,
90,"Created by Weiman Kow, instagram: weimankow",,
95,"О Коронавирусе    Существует только ОДНА вещь, которую вам нужно знать о том, как коронавирус Распространяется Рот Нос Глаза И попадает к вам в Здоровый человек Заболевший человек Вирус распространяется через капельки Соблюдать дистанцию. ﻿Два метра помогут вам оставаться в безопасности. 1 2 метра Апчхи! Если вы видите кого-то кашляющего, чихающего или заболевшего, то вы можете решить: Дайте им маску. В ней они могут кашлять и чихать. Это защитит всех вокруг. 2 Спасибо *всхлипывая* Или Может быть она не болеет, а просто защищает себя. Заболевшие могут не проявлять симптомов, но все равно могут быть заразными. В целом, хорошая идея - избегать скопления людей и толпы, потому что вы не знаете, кто именно болеет. Палочки Здоровый человек Поручни и ремни в общественном транспорте Кнопки в лифте Платки Кружки Электронные девайсы Даже на обратную сторону вашей маски Лестничные перила Мышки Ручки Дверные ручки Руки Однако, слюна больного человека попадает на другие предметы Вы можете заболеть. Или до лица любимого человека Потрете глаза И если вы случайно дотронетесь до этих предметов, а затем до своего лица, и единственный способ избавиться от них - это смывать их мылом, отбеливателем или алкоголем. Вирусы могут выживать на предметах на протяжении долгих часов, мыло мерам предосторожности Поэтому всегда нужно следовать Мойте с мылом до этого места Мыло Локоть Не трогайте лицо. (Или лицо другого человека.) Если вам нужно дотронуться до лица, то первым делом помойте руки с мылом. Так долго, чтобы хватило времени спеть ""С Днем Рождения"" дважды. Под ногтями 20 секунд Между пальцами Мойте руки и с обратной стороны Что означает тщательно? Если вы дотронулись, не волнуйтесь. Просто помойте руки с мылом. Старайтесь не трогать внешнюю сторону вашей маски, если это возможно Капельки Бактерии прорастают и на ваших масках, если вы носите их слишком долго Выбросьте маски как только почувствуете, что они уже использованы. Не носите их дольше одного дня. Используйте сервировочную ложку Малыщ Папа Мама Каждый получает свое полотенце Не делитесь едой, посудой, кружками или полотенцами. Вы можете дотронуться до лица локтем, если вы устали. Открывайте и закрывайте двери локтем или плечом вместо рук, если это возможно.  Дома И после того как вы были на улице или среди людей. Перед приемом пищи Всегда мойти руки с мылом И наконец! Мыло Оставайтесь в безопасности! Оставайтесь в безопасности! Мыло Читайте статьи для получения дополнительных советов. ""Анимация показывает, как далеко ваш чих может улететь"", Чиа И Хой и Андреа Шмитц, Business insider (Январь 21, 2020) ""Уханьский вирус: Как оставаться в безопасности"", Лорри Гаррет, во внешней политике, отчет. (25 января,2020) ""Как избежать короновируса? Мойте руки"", Элизабет Розенталь, New York Times, Мнение. (28 января, 2020) Основные ссылки для информаци в СМИ Дополннительные заметки: Меры гигиены эффективны в предотвращении заболеваний таких как простуда и грипп. Эти меры гигиены должны приниматься каждый день, даже если нет эпидемии. ﻿Ссылки: Информация в юмористическом источники основана на понимании COVID19 до 28 февраля 2020, и взята из этих источников https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Дополнительная информация. PDF-версию комикса можно бесплатно скачать здесь: https://gumroad.com/weimankowart Этот комикс можно бесплатно опубликовать в Интернете и через WhatsApp. и Telegram, а загружаемые файлы можно бесплатно распечатать в качестве плакатов для личного и образовательного использования в дома, школы и рабочие места. Рекомендации по обмену. При публикации помните эти 3 пункта: 1) Никакие изменения в комиксах при публикации запрещены. 2) Комиксы нельзя использовать в коммерческих проектах. 3) если в сети, укажите автора в FB, пометив @weimankowart, в IG, отметив @weimankow (IG), или предоставляя ссылку на instagram com / weimankow Для любого другого использования отправьте запрос по адресу: comicsforgood@gmail.com О Коронавирусе Автор: Вейман Ков﻿Иллюстрации: Вейман Ков SIL LEAD Дарья Давидовская Created by Weiman Kow, instagram: weimankow    ",Sobre el Coronavirus                                                                                      Sobre el Coronavirus        ,About Coronavirus                                                                                      About Coronavirus        
