source,translated,question,answer
"","selat an tutundu’",,
"","Wo’asan murina u rorongkem",,
"","Kura i mo’as u lengen makaz maweresi?",,
"","Sa kinationannoma, tia’ maarét. Rengan mo’asé lengen karia u sabong.",,
"","Tia’ pahtionan u luarna masker",,
"","kinapesikan rura’",,
"","Si bakteri én toro malakez witu un untep u masker sa tahlous uré pinaké.",,
"","Sa pahgenangela kotoro u maskermu én itia’moma. U masker én tia’ pahpakén lumangkoia witu u sana endo.",,
"","Pahpakéala léper a séndé’en kaapa wawahu’",,
"","Koki’",,
"","Ama’",,
"","Ina’",,
"","Mahpakéla tata’saan anduk.",,
"","Tia’ pahwali-walian i mahkan, am pahpakén mahkan, eelepan wo anduk.",,
"","Amoké wa’wa’ela, ni kamu én zéi’kan mamuali tumion ung giomu karia u sikumu.",,
"","Satoro é makéla siku kaapa paluka i muka kaapa menet um pepenet.",,
"","Walé",,
"","In taré ikaayomé witi walé",,
"","Puunala ing kuman",,
"","Sekezé u lengenmu ém pahwo’asala karia u sabong…",,
"","Kamurian,",,
"","PAHGENANGELA UN TOU ",,
"","Lakez a méipantik witu tumoro apa an toro wangunen",,
"",""This animation shows how far you sneeze can actually travel." by Chia-Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
"",""The Wuhan Virus: How to stay safe", by Laurie Garrett, in Foreign Policy Report. (Jan 25, 2020)",,
"",""How to Avoid the Coronavirus? Wash Your Hands", by Elizabeth Rosenthal, in The New York Times, Opinion.(Jan28,2020)",,
"","An toro bacan tumoro u mahmuali:",,
"","Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah.  Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini.  https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini: https://gumroad.com/weimankowart  Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja..  Saat membagikan komik ini, ingat 3 hal berikut: 1) Dilarang mengedit gambar komik yang akan dibagikan. 2) Komik ini tidak dapat diperjualbelikan. 3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",,
"","",,
"","",,
"","",,
"Sobre el Coronavirus                                                                                    Sobre el Coronavirus        ","UN TOTOZ KATA'UANTA TUMORO U VIRUS CORONA  Bahasa Tombulu  ESA uman un totoz kata’uan nioua tumoro kura u virus Corona i mahlaputa Sumah Ngirung Weren muntepa wana am Tou zéi’kan saki Tou saki U virus ém pahkalaputa karia u rura’ pahkapesika kenu Zumou’la. Ni kamu én zéi’kan pahkaayoané u rura’ mahpesiké sa zumou’la 2m. 1 ½m - 2m Haaachii!! Niitumo, sa ni kamu mileka si tou mahenga/mahtihoi/saki, ni kamu é léwo’zéi’: WÉHANA MASKER SÉRA. Ni séra én toro tumihoi/mengah witu u maskerna wo zéi’kan ikaayoma wia sé tou witu réténa. 2 Tambér wangko’ *SROOT* KAAPA Si tou itii woo zéi’kan saki. Ni sia éng kimelung uman un touna. Si tou kinalaputano én zéi’kan kata’uanta, taan toro uman lumaputa u sakina. Um wangun é zumou’mé im wia sé tou lakez, pahpaan zéi’kan kata’uannu séi si léwo’ pendanen. Am pemamakén i mahkan Sé tou lé’o-lé’os uman Titionan wana ang keréta An ipahkepel wana a lif Tisyu Eelepan Leptop, HP wo am walina U LUARNA u masker Titionan an ahzan Mous ang computer Potlot Titionan am pepenet Lengen néra Zozo’ in téntu, satorona u rura’ ni tou saki én toro lumaput wana a… ni kamu péléng én toro uman masaki. kaapa ang gio né tou karaatému, mahpurisi um weren Sa kamu méikationa wana ang kinuamoma itii, an tumiona ung giomu in esa, Un totoz wangun i zuméi’ a virus é mo’as niitu karia  u sabong, um pahkulo’ ang karai, kaapa alkohol. U virus én toro uman tumahang makaz 24 jam witu un apa uman. Sabong an toro wangunen i zuméi’ tanu ang kenu. Niitumo, um wangun éng kiitala u wo’asan karia u sabong makaz wia’i. Sabong Siku u lengen TIA' PAHTIONAN UNG GIOMU (kaapa ang gio ni séi uman) Tanu makazua kumantara ung kakantaren “Happy Birthday”. sulu kauréna 20 detik selat an tutundu’ Wo’asan murina u rorongkem Kura i mo’as u lengen makaz maweresi? Sa kinationannoma, tia’ maarét. Rengan mo’asé lengen karia u sabong. Tia’ pahtionan u luarna masker kinapesikan rura’ Si bakteri én toro malakez witu un untep u masker sa tahlous uré pinaké. Sa pahgenangela kotoro u maskermu én itia’moma. U masker én tia’ pahpakén lumangkoia witu u sana endo. Pahpakéala léper a séndé’en kaapa wawahu’ Koki’ Ama’ Ina’ Mahpakéla tata’saan anduk. Tia’ pahwali-walian i mahkan, am pahpakén mahkan, eelepan wo anduk. Amoké wa’wa’ela, ni kamu én zéi’kan mamuali tumion ung giomu karia u sikumu. Satoro é makéla siku kaapa paluka i muka kaapa menet um pepenet. Walé In taré ikaayomé witi walé Puunala ing kuman Sekezé u lengenmu ém pahwo’asala karia u sabong… Kamurian, Sabong PAHGENANGELA UN TOU  Lakez a méipantik witu tumoro apa an toro wangunen "This animation shows how far you sneeze can actually travel." by Chia-Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) "The Wuhan Virus: How to stay safe", by Laurie Garrett, in Foreign Policy Report. (Jan 25, 2020) "How to Avoid the Coronavirus? Wash Your Hands", by Elizabeth Rosenthal, in The New York Times, Opinion.(Jan28,2020) An toro bacan tumoro u mahmuali: Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah.  Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini.  https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini: https://gumroad.com/weimankowart  Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja..  Saat membagikan komik ini, ingat 3 hal berikut: 1) Dilarang mengedit gambar komik yang akan dibagikan. 2) Komik ini tidak dapat diperjualbelikan. 3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com UN TOTOZ KATA'UANTA TUMORO U VIRUS CORONA        ",,
